"company","start_date","end_date","fiscal_period","fiscal_year","filing_date","cash_and_cash_equivalents","short_term_investments","note_and_lease_receivables","accounts_receivable","inventory","other_current_assets","total_current_assets","net_plant_property_and_equipment","long_term_investments","other_noncurrent_operating_assets","total_noncurrent_assets","total_assets","short_term_debt","accounts_payable","current_deffered_revenue","other_current_liabilities","total_current_liabilities","long_term_debt","other_noncurrent_liabilities","total_noncurrent_liabilities","total_liabilities","commitments_and_contingencies","common_stock","retained_earnings","accumulated_other_comprehensive_income_loss","total_common_equity","total_preferred_and_common_equity","total_equity_and_noncontrolling_interests","total_liabilities_and_equity"
"com_PypBRX",,"2009-06-30","Q2",2009,"2009-08-10 15:46:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2010-03-31","Q1",2010,"2010-05-10 16:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2010-06-30","Q2",2010,"2010-08-06 15:39:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2011-03-31","Q1",2011,"2011-05-05 21:27:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2011-06-30","Q2",2011,"2011-08-05 14:30:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2012-03-31","Q1",2012,"2012-08-09 07:44:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2012-06-30","Q2",2012,"2012-08-09 08:17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2013-03-31","Q1",2013,"2013-05-08 16:09:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2013-06-30","Q2",2013,"2013-08-07 16:25:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2014-03-31","Q1",2014,"2014-05-02 16:02:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2014-06-30","Q2",2014,"2014-08-04 16:27:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2015-03-31","Q1",2015,"2015-05-05 16:08:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2015-06-30","Q2",2015,"2015-08-03 16:03:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2016-03-31","Q1",2016,"2016-04-29 16:18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2016-06-30","Q2",2016,"2016-08-03 16:15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2017-03-31","Q1",2017,"2017-05-02 16:15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2017-06-30","Q2",2017,"2017-08-02 16:22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2018-03-31","Q1",2018,"2018-05-02 16:20:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2018-06-30","Q2",2018,"2018-08-01 16:49:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2019-03-31","Q1",2019,"2019-05-02 16:35:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2019-06-30","Q2",2019,"2019-08-05 18:19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2020-03-31","Q1",2020,"2020-05-07 16:37:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2020-06-30","Q2",2020,"2020-08-03 16:13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2021-03-31","Q1",2021,"2021-05-04 16:17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2021-06-30","Q2",2021,"2021-08-02 16:12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2022-03-31","Q1",2022,"2022-05-03 20:13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2022-06-30","Q2",2022,"2022-08-03 20:13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2009-06-30","Q2",2009,"2009-08-10 15:46:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2010-03-31","Q1",2010,"2010-05-10 16:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2010-06-30","Q2",2010,"2010-08-06 15:39:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2011-03-31","Q1",2011,"2011-05-05 21:27:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2011-06-30","Q2",2011,"2011-08-05 14:30:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2012-03-31","Q1",2012,"2012-08-09 07:44:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2012-06-30","Q2",2012,"2012-08-09 08:17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2013-03-31","Q1",2013,"2013-05-08 16:09:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2013-06-30","Q2",2013,"2013-08-07 16:25:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2014-03-31","Q1",2014,"2014-05-02 16:02:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2014-06-30","Q2",2014,"2014-08-04 16:27:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2015-03-31","Q1",2015,"2015-05-05 16:08:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2015-06-30","Q2",2015,"2015-08-03 16:03:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2016-03-31","Q1",2016,"2016-04-29 16:18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2016-06-30","Q2",2016,"2016-08-03 16:15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2017-03-31","Q1",2017,"2017-05-02 16:15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2017-06-30","Q2",2017,"2017-08-02 16:22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2018-03-31","Q1",2018,"2018-05-02 16:20:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2018-06-30","Q2",2018,"2018-08-01 16:49:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2019-03-31","Q1",2019,"2019-05-02 16:35:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2019-06-30","Q2",2019,"2019-08-05 18:19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2020-03-31","Q1",2020,"2020-05-07 16:37:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2020-06-30","Q2",2020,"2020-08-03 16:13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2021-03-31","Q1",2021,"2021-05-04 16:17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2021-06-30","Q2",2021,"2021-08-02 16:12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2022-03-31","Q1",2022,"2022-05-03 20:13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2022-06-30","Q2",2022,"2022-08-03 20:13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"com_PypBRX",,"2023-03-31","Q1",2023,"2023-05-03 20:10:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
